,postal_code,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6
202,44040,3,1,0,0,4,OH,360.0,180.0,150.0,170.0,330.0,490.0
203,44044,1,8,1,0,10,OH,1970.0,1480.0,1100.0,650.0,810.0,150.0
204,44045,1,0,0,0,1,OH,80.0,90.0,40.0,30.0,30.0,0.0
205,44050,2,2,0,1,5,OH,940.0,800.0,560.0,390.0,460.0,60.0
206,44052,6,9,0,0,15,OH,6640.0,3580.0,1390.0,640.0,410.0,40.0
207,44053,7,11,3,1,22,OH,3680.0,2410.0,1450.0,920.0,920.0,100.0
208,44054,3,6,2,0,11,OH,2120.0,1700.0,1120.0,670.0,640.0,100.0
209,44055,1,2,0,0,3,OH,4590.0,2360.0,810.0,290.0,190.0,0.0
210,44056,13,35,5,0,53,OH,1770.0,1270.0,1120.0,860.0,1200.0,290.0
211,44060,87,150,28,4,269,OH,9940.0,7680.0,5680.0,3910.0,4810.0,980.0
212,44062,6,11,1,1,19,OH,2040.0,1900.0,850.0,470.0,320.0,60.0
213,44065,3,6,3,0,12,OH,670.0,520.0,360.0,230.0,290.0,90.0
214,44067,12,35,8,1,56,OH,3210.0,2570.0,1960.0,1380.0,1720.0,400.0
215,44070,42,88,17,3,150,OH,5750.0,4280.0,3000.0,2000.0,2080.0,250.0
216,44072,1,3,0,0,4,OH,650.0,420.0,320.0,260.0,460.0,330.0
217,44077,26,43,1,1,71,OH,9890.0,7200.0,4440.0,2780.0,3500.0,940.0
218,44087,24,49,9,1,83,OH,3380.0,2310.0,1810.0,1270.0,2020.0,510.0
219,44092,9,23,8,1,41,OH,3050.0,2710.0,1510.0,790.0,800.0,130.0
220,44094,41,84,11,3,139,OH,6130.0,4800.0,3270.0,2130.0,2650.0,880.0
221,44095,22,33,2,1,58,OH,6200.0,5370.0,3040.0,1670.0,1280.0,150.0
222,44101,1,3,1,0,5,OH,120.0,100.0,80.0,50.0,0.0,0.0
223,44102,33,55,15,2,105,OH,9390.0,5000.0,1630.0,610.0,600.0,170.0
224,44103,11,28,4,1,44,OH,3550.0,1520.0,340.0,120.0,90.0,20.0
225,44104,6,2,0,0,8,OH,5070.0,1500.0,320.0,80.0,40.0,0.0
226,44105,5,8,2,0,15,OH,8510.0,4270.0,1140.0,340.0,200.0,0.0
227,44106,30,61,8,3,102,OH,3890.0,2010.0,880.0,400.0,620.0,510.0
228,44107,91,151,23,8,273,OH,9020.0,8350.0,4540.0,2300.0,2640.0,750.0
229,44108,4,6,0,0,10,OH,5310.0,2530.0,630.0,230.0,250.0,160.0
230,44109,15,50,7,2,74,OH,9030.0,5230.0,1930.0,760.0,530.0,30.0
231,44110,11,12,3,1,27,OH,4330.0,2070.0,540.0,170.0,120.0,0.0
232,44111,30,61,7,4,102,OH,8640.0,6000.0,2610.0,1240.0,960.0,110.0
233,44112,3,9,3,1,16,OH,4760.0,2110.0,600.0,220.0,160.0,0.0
234,44113,108,165,29,4,306,OH,2760.0,2240.0,1540.0,690.0,810.0,390.0
235,44114,51,102,17,2,172,OH,1240.0,740.0,490.0,200.0,250.0,220.0
236,44115,36,74,8,2,120,OH,1650.0,500.0,320.0,120.0,170.0,70.0
237,44116,40,78,21,5,144,OH,3080.0,2200.0,1790.0,1180.0,2170.0,1150.0
238,44117,2,4,1,0,7,OH,2090.0,1370.0,590.0,280.0,200.0,0.0
239,44118,42,84,18,6,150,OH,6120.0,4190.0,2650.0,1630.0,2450.0,890.0
240,44119,6,14,2,0,22,OH,2590.0,2010.0,880.0,370.0,310.0,40.0
241,44120,15,38,4,2,59,OH,7120.0,4030.0,1470.0,780.0,1110.0,800.0
242,44121,27,46,4,1,78,OH,6260.0,4640.0,2580.0,1330.0,1310.0,170.0
243,44122,60,134,18,3,215,OH,4750.0,3130.0,2180.0,1500.0,2790.0,2500.0
244,44123,9,8,1,0,18,OH,3810.0,2860.0,1060.0,490.0,370.0,50.0
245,44124,63,107,17,5,192,OH,6080.0,5040.0,3560.0,2250.0,2710.0,1500.0
246,44125,18,29,4,1,52,OH,5820.0,4550.0,1930.0,870.0,680.0,60.0
247,44126,22,48,8,1,79,OH,2770.0,2290.0,1730.0,1090.0,1260.0,270.0
248,44127,0,3,0,0,3,OH,1060.0,380.0,80.0,30.0,0.0,0.0
249,44128,16,24,9,3,52,OH,6840.0,4520.0,1380.0,470.0,290.0,20.0
250,44129,47,88,13,3,151,OH,5320.0,4640.0,2550.0,1370.0,1000.0,90.0
251,44130,77,134,15,3,229,OH,9700.0,7790.0,4800.0,2800.0,2360.0,280.0
252,44131,18,35,10,2,65,OH,3220.0,2300.0,2020.0,1460.0,1960.0,500.0
253,44132,6,4,1,0,11,OH,3310.0,2240.0,920.0,390.0,260.0,40.0
254,44133,29,41,6,1,77,OH,4960.0,4010.0,2640.0,1830.0,2650.0,710.0
255,44134,17,56,15,5,93,OH,7080.0,6120.0,3590.0,1900.0,1470.0,100.0
256,44135,23,43,7,3,76,OH,5700.0,3970.0,1750.0,760.0,450.0,30.0
257,44136,63,68,16,1,148,OH,3930.0,2710.0,2130.0,1640.0,2410.0,650.0
258,44137,7,18,0,1,26,OH,5270.0,3730.0,1450.0,560.0,350.0,0.0
259,44138,14,17,2,0,33,OH,3540.0,2670.0,1950.0,1410.0,1940.0,380.0
260,44139,47,51,13,2,113,OH,3410.0,1870.0,1540.0,1250.0,2580.0,1680.0
261,44140,4,8,1,1,14,OH,1940.0,1120.0,1240.0,960.0,1870.0,880.0
262,44141,10,18,2,0,30,OH,1830.0,1010.0,960.0,850.0,1740.0,910.0
263,44142,14,24,9,0,47,OH,3920.0,3190.0,1740.0,900.0,640.0,30.0
264,44143,25,47,8,0,80,OH,4140.0,2830.0,2020.0,1360.0,2110.0,800.0
265,44144,19,48,4,2,73,OH,4430.0,3800.0,1770.0,800.0,500.0,50.0
266,44145,69,138,18,7,232,OH,4930.0,3140.0,2710.0,1870.0,3040.0,2010.0
267,44146,21,40,7,1,69,OH,6070.0,5150.0,2350.0,1070.0,800.0,80.0
268,44147,22,29,4,3,58,OH,2960.0,2190.0,1590.0,1190.0,1980.0,790.0
269,44149,10,11,2,0,23,OH,2860.0,1830.0,1610.0,1320.0,2210.0,780.0
270,44202,14,43,7,1,65,OH,2960.0,1800.0,1550.0,1190.0,2370.0,1010.0
271,44212,31,49,10,2,92,OH,7390.0,5670.0,4100.0,2820.0,3370.0,390.0
272,44221,26,62,8,4,100,OH,5340.0,5290.0,2790.0,1270.0,890.0,70.0
273,44223,17,37,7,3,64,OH,2920.0,2310.0,1690.0,1090.0,1260.0,360.0
274,44224,31,65,11,1,108,OH,6130.0,4560.0,3260.0,2250.0,3230.0,700.0
275,44233,4,5,0,0,9,OH,1180.0,650.0,580.0,440.0,870.0,480.0
276,44234,1,0,0,1,2,OH,550.0,440.0,300.0,190.0,230.0,60.0
277,44236,39,69,13,0,121,OH,3200.0,1320.0,1310.0,1170.0,3190.0,2340.0
278,44240,41,106,17,7,171,OH,6370.0,3730.0,2250.0,1480.0,1830.0,340.0
279,44241,26,47,7,1,81,OH,3010.0,2560.0,1540.0,900.0,1020.0,130.0
280,44253,1,1,1,0,3,OH,550.0,460.0,290.0,240.0,270.0,40.0
281,44255,4,3,1,0,8,OH,1330.0,1100.0,650.0,420.0,420.0,70.0
282,44256,52,111,18,3,184,OH,9650.0,6280.0,4740.0,3670.0,5980.0,1940.0
283,44262,2,6,0,0,8,OH,770.0,630.0,460.0,320.0,420.0,70.0
284,44264,9,7,1,0,17,OH,400.0,300.0,230.0,170.0,270.0,120.0
285,44278,11,19,3,0,33,OH,3010.0,2210.0,1610.0,1130.0,1230.0,250.0
286,44280,3,4,1,0,8,OH,770.0,620.0,440.0,420.0,540.0,110.0
287,44286,8,18,1,0,27,OH,920.0,580.0,430.0,360.0,550.0,500.0
288,44308,1,0,0,0,1,OH,180.0,30.0,40.0,0.0,40.0,0.0
289,44319,0,1,0,0,1,OH,3770.0,3120.0,2030.0,1230.0,1250.0,220.0
290,44320,1,0,0,0,1,OH,4440.0,2620.0,980.0,440.0,340.0,50.0
291,44321,2,5,1,1,9,OH,1910.0,1420.0,1130.0,920.0,1590.0,700.0
292,44333,35,51,6,4,96,OH,2510.0,1470.0,1290.0,1050.0,1950.0,1340.0
293,44428,2,1,0,0,3,OH,630.0,420.0,230.0,120.0,110.0,0.0
294,45069,0,1,0,0,1,OH,7110.0,4810.0,3530.0,2920.0,5480.0,2000.0
