zip,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6,affluence,yelp_perc_1,yelp_perc_2,yelp_perc_3,yelp_perc_4,city
15229,6,20,3,1,30,PA,2360.0,1890.0,1360.0,910.0,1070.0,180.0,60553.410553410555,0.2,0.6666666666666666,0.1,0.03333333333333333,Pittsburgh
15232,44,58,5,2,109,PA,1290.0,1400.0,860.0,380.0,570.0,550.0,74975.24752475247,0.4036697247706422,0.5321100917431193,0.045871559633027525,0.01834862385321101,Pittsburgh
15233,5,18,2,0,25,PA,590.0,470.0,190.0,100.0,120.0,50.0,50082.23684210527,0.2,0.72,0.08,0.0,Pittsburgh
15234,17,34,2,0,53,PA,2380.0,2120.0,1240.0,800.0,960.0,150.0,57287.581699346396,0.3207547169811321,0.6415094339622641,0.03773584905660377,0.0,Castle Shannon
15235,16,32,4,0,52,PA,6500.0,5330.0,2840.0,1710.0,1670.0,300.0,50885.558583106256,0.3076923076923077,0.6153846153846154,0.07692307692307693,0.0,Pittsburgh
15236,21,49,5,0,75,PA,5020.0,3770.0,2690.0,1960.0,2630.0,390.0,62925.273390036455,0.28,0.6533333333333333,0.06666666666666668,0.0,Pittsburgh
15237,62,122,18,0,202,PA,6180.0,4160.0,3230.0,2720.0,4760.0,1630.0,79128.08641975309,0.3069306930693069,0.6039603960396039,0.0891089108910891,0.0,Pittsburgh
15238,18,23,5,3,49,PA,1840.0,1020.0,710.0,560.0,1180.0,1600.0,105879.16063675832,0.3673469387755102,0.4693877551020408,0.1020408163265306,0.061224489795918366,Pittsburgh
15239,7,14,1,0,22,PA,3430.0,2370.0,1720.0,1320.0,1890.0,300.0,64664.55122393473,0.3181818181818182,0.6363636363636364,0.045454545454545456,0.0,Pittsburgh
15241,20,48,15,2,85,PA,2700.0,1220.0,1010.0,940.0,2550.0,1890.0,104740.54316197867,0.2352941176470588,0.5647058823529412,0.17647058823529413,0.023529411764705882,Upper St Clair
15243,3,6,1,0,10,PA,1790.0,1030.0,950.0,900.0,1710.0,760.0,90423.66946778713,0.3,0.6,0.1,0.0,Pittsburgh
15317,32,66,7,2,107,PA,5700.0,3590.0,2620.0,2230.0,4450.0,1910.0,83402.43902439026,0.29906542056074764,0.616822429906542,0.06542056074766353,0.018691588785046728,McMurray
15321,2,3,0,0,5,PA,280.0,180.0,140.0,130.0,150.0,30.0,66346.15384615384,0.4,0.6,0.0,0.0,Cecil
15332,0,3,0,0,3,PA,1380.0,950.0,670.0,510.0,610.0,140.0,62411.971830985916,0.0,1.0,0.0,0.0,Clairton
15342,1,2,0,0,3,PA,870.0,610.0,390.0,290.0,370.0,50.0,58720.93023255814,0.3333333333333333,0.6666666666666666,0.0,0.0,Houston
15367,1,0,0,0,1,PA,1350.0,470.0,360.0,340.0,1010.0,980.0,107150.77605321507,1.0,0.0,0.0,0.0,Venetia
15632,3,4,3,0,10,PA,1550.0,870.0,580.0,460.0,920.0,420.0,77395.83333333331,0.3,0.4,0.3,0.0,Murrysville
